name,id,birthDate
Jack Darragh,darraja01,1890-12-04
Bob Davidson,davidbo01,1912-02-10
Gord Davidson,davidgo01,1918-08-05
John Davidson,davidjo01,1953-02-27
Murray Davison,davismu01,1938-06-10
Rob Davison,davisro01,1980-05-01
Jeff Daw,dawje01,1972-02-28
Jason Dawe,daweja01,1973-05-29
Hap Day,dayha01,1901-06-14
Calvin de Haan,dehaaca01,1991-05-09
Greg de Vries,devrigr01,1973-01-04
Louie DeBrusk,debrulo01,1971-03-19
Bob DeCourcy,decoubo01,1927-06-12
Brandon DeFazio,defazbr01,1988-09-13
Dean Defazio,defazde01,1963-04-16
Norm Defelice,defelno01,1933-01-19
Dale DeGray,degrada01,1963-09-01
Luca Del Bel Belluz,delbelu01,2003-11-10
Ethan Del Mastro,delmaet01,2003-01-15
Michael Del Zotto,delzomi01,1990-06-24
Stefan Della Rovere,dellast01,1990-02-25
Ty Dellandrea,dellaty01,2000-07-21
Armand Delmonte,delmoar01,1927-06-03
Andy Delmore,delmoan01,1976-12-26
Val Delory,delorva01,1927-02-14
Alex Delvecchio,delveal01,1932-12-04
Ab DeMarco,demarab01,1916-05-10
Dylan DeMelo,demeldy01,1993-05-01
Corb Denneny,denneco01,1894-01-25
Cy Denneny,dennecy01,1891-12-23
Norm Dennis,dennino01,1942-12-10
Gerry Denoird,denoige01,1902-08-04
Travis Dermott,dermotr01,1996-12-22
Joffre Desilets,desiljo01,1915-04-16
Andrew Desjardins,desjaan01,1986-07-27
Gerry Desjardins,desjage01,1944-07-22
Patrick DesRochers,desropa01,1979-10-27
Jamie Devane,devanja01,1991-02-20
Boyd Devereaux,deverbo01,1978-04-16
Kevin Devine,devinke01,1954-12-09
Al Dewsbury,dewsbal01,1926-04-12
Phillip Di Giuseppe,digiuph01,1993-10-09
Justin Dibenedetto,dibenju01,1988-08-25
Harry Dick,dickha01,1922-11-22
Herb Dickenson,dickehe01,1931-06-11
Jason Dickinson,dickija01,1995-07-04
Christopher DiDomenico,didomch01,1989-02-20
Bob Dillabough,dillabo01,1941-04-27
Gary Dillon,dilloga01,1959-02-28
Wayne Dillon,dillowa01,1955-05-25
Peter Dineen,dineepe01,1960-11-19
Chuck Dinsmore,dinsmch01,1903-07-23
Joe DiPenta,dipenjo01,1979-02-25
Michael Dipietro,dipiemi01,1999-06-09
Paul DiPietro,dipiepa01,1970-09-08
Gary Doak,doakga01,1946-02-25
Brian Dobbin,dobbibr01,1966-08-18
Fred Doherty,doherfr01,1887-08-15
Dolly Dolson,dolsodo01,1897-05-23
Tie Domi,domiti01,1969-11-01
Babe Donnelly,donneba01,1895-12-22
Shean Donovan,donovsh01,1975-01-22
Jamie Doornbosch,doornja01,1990-02-01
Rob Dopson,dopsoro01,1967-08-21
John Doran,doranjo01,1911-05-24
Lloyd Doran,doranll01,1921-01-10
Ken Doraty,doratke01,1906-06-23
Jim Dorey,doreyji01,1947-08-17
Gary Dornhoefer,dornhga01,1943-02-02
Jake Dotchin,dotchja01,1994-03-24
Drew Doughty,doughdr01,1989-12-08
Kent Douglas,douglke01,1936-02-06
Les Douglas,douglle01,1918-12-05
Peter Douris,douripe01,1966-02-19
Bruce Dowie,dowiebr01,1962-12-09
Aaron Downey,downeaa01,1974-08-27
Dave Downie,downida01,1909-03-11
Steve Downie,downist01,1987-04-03
Bruce Draper,drapebr01,1940-10-02
Kris Draper,drapekr01,1971-05-24
Hunter Drew,drewhu01,1998-10-21
Peter Driscoll,driscpe01,1954-10-27
Bruce Driver,drivebr01,1962-04-29
Clarence Drouillard,drouicl01,1914-03-02
John Druce,drucejo01,1966-02-23
Jim Drummond,drummji01,1918-10-20
Herb Drury,druryhe01,1895-03-02
Dave Dryden,drydeda01,1941-09-05
Ken Dryden,drydeke01,1947-08-08
Jamie Drysdale,drysdja01,2002-04-08
Matt Duchene,duchema01,1991-01-16
Mike Duco,ducomi01,1987-07-08
Rick Dudley,dudleri01,1949-01-31
Dave Duerden,duerdda01,1977-04-11
Dick Duff,duffdi01,1936-02-18
John Duggan,duggajo01,1898-12-17
Ken Duggan,duggake01,1963-02-21
Ron Duguay,duguaro01,1957-07-06
Lorne Duguid,duguilo01,1910-04-04
Woody Dumart,dumarwo01,1916-12-23
Art Duncan,duncaar01,1891-07-04
Iain Duncan,duncaia01,1963-08-04
Craig Duncanson,duncacr01,1967-03-17
Frank Dunlap,dunlafr01,1924-08-10
Blake Dunlop,dunlobl01,1953-04-04
Vince Dunn,dunnvi02,1996-10-29
Jerry Dupont,duponje01,1962-02-21
Bob Dupuis,dupuibo01,1952-08-26
Steve Durbano,durbast01,1951-12-12
Bill Durnan,durnabi01,1916-01-22
Chris Durno,durnoch01,1980-10-31
Sean Durzi,durzise01,1998-10-21
Mike Dwyer,dwyermi01,1957-09-16
Babe Dye,dyeba01,1898-05-13
Jack Dyte,dyteja01,1918-10-13
Ben Eager,eagerbe01,1984-01-22
Mike Eastwood,eastwmi01,1967-07-01
Jeff Eatough,eatouje01,1963-06-02
Tim Ecclestone,eccleti01,1947-09-24
Darryl Edestrand,edestda01,1945-11-06
Tom Edur,edurto01,1954-11-18
Don Edwards,edwardo01,1955-09-28
Gary Edwards,edwarga01,1947-10-05
Marv Edwards,edwarma01,1934-08-15
Roy Edwards,edwarro01,1937-03-12
Jack Egers,egersja01,1949-01-28
Aaron Ekblad,ekblaaa01,1996-02-07
Remi Elie,eliere01,1995-04-16
Bo Elik,elikbo01,1929-10-17
Todd Elik,elikto01,1966-04-15
Darren Eliot,eliotda01,1961-11-26
Ken Ellacott,ellacke01,1959-03-03
Brian Elliott,elliobr01,1985-04-09
Fred Elliott,elliofr01,1903-02-18
Matt Ellis,ellisma01,1981-08-31
Ron Ellis,ellisro01,1945-01-08
Ryan Ellis,ellisry01,1991-01-03
Nelson Emerson,emersne01,1967-08-17
Ray Emery,emeryra01,1982-09-28
Steve Eminger,emingst01,1983-10-31
Cory Emmerton,emmerco01,1988-06-01
Hap Emms,emmsha01,1905-01-12
John English,englijo01,1966-05-13
Mackenzie Entwistle,entwima01,1999-07-14
John Erskine,erskijo01,1980-06-26
Phil Esposito,esposph01,1942-02-20
Tony Esposito,esposto01,1943-04-23
Bob Essensa,essenbo01,1965-01-14
Luke Evangelista,evanglu01,2002-02-21
Chris Evans,evansch01,1946-09-14
Daryl Evans,evansda01,1961-01-12
Doug Evans,evansdo01,1963-06-02
Jake Evans,evansja02,1996-06-02
Kevin Evans,evanske01,1965-07-10
Paul Evans,evansjo01,1954-05-02
Paul Evans,evanspa01,1955-02-24
Shawn Evans,evanssh01,1965-09-07
Stewart Evans,evansst01,1908-06-19
Randy Exelby,exelbra01,1965-08-13
Robby Fabbri,fabbrro01,1996-01-22
Adam Fantilli,fantiad01,2004-10-12
Rocky Farr,farrro01,1947-04-07
Walt Farrant,farrawa01,1912-08-12
Dave Farrish,farrida01,1956-08-01
Drew Fata,fatadr01,1983-07-28
Rico Fata,fatari01,1980-02-12
Doug Favell,faveldo01,1945-04-05
Glen Featherstone,feathgl01,1968-07-08
Tony Featherstone,feathto01,1949-07-31
Chris Felix,felixch01,1964-05-27
David Fenyves,fenyvda01,1960-04-29
George Ferguson,ferguge01,1952-08-22
Lorne Ferguson,fergulo01,1930-05-26
Manny Fernandez,fernama01,1974-08-27
Mario Ferraro,ferrama01,1998-09-17
Tommy Filmore,filmoto01,1906-03-14
Lloyd Finkbeiner,finkbll01,1920-04-12
Brian Finley,finlebr01,1981-07-13
Peter Fiorentino,fiorepe01,1968-12-22
Alvin Fisher,fisheal01,1894-10-02
Craig Fisher,fishecr01,1970-06-30
Mike Fisher,fishemi01,1980-06-05
Bob Fitchner,fitchbo01,1950-12-22
Mark Fitzpatrick,fitzpma01,1968-11-13
Patrick Flatley,flatlpa01,1963-10-03
John Flesch,flescjo01,1953-07-15
Todd Flichel,flichto01,1964-09-14
Larry Floyd,floydla01,1961-05-01
Warren Foegele,foegewa01,1996-04-01
Tyson Foerster,foersty01,2002-01-18
Bryan Fogarty,fogarbr01,1969-06-11
Lee Fogolin,fogolle01,1926-02-27
Rick Foley,foleyri01,1945-09-22
Mike Foligno,foligmi01,1959-01-29
Lou Fontinato,fontilo01,1932-01-20
Adam Foote,footead01,1971-07-10
Jake Forbes,forbeja01,1897-07-04
Mike Forbes,forbemi01,1957-09-20
Alex Formenton,formeal01,1999-09-13
Alex Forsyth,forsyal01,1955-01-06
Dave Fortier,fortida01,1951-06-17
Corey Foster,fosteco01,1969-10-27
Dwight Foster,fostedw01,1957-04-02
Herb Foster,fostehe01,1913-08-09
Kurtis Foster,fosteku01,1981-11-24
Scott Foster,fostesc01,1982-01-17
Yip Foster,fosteyi01,1907-11-25
Jean-Luc Foudy,foudyje01,2002-05-13
Liam Foudy,foudyli01,2000-02-04
Mike Fountain,fountmi01,1972-01-26
Cam Fowler,fowleca01,1991-12-05
Jimmy Fowler,fowleji01,1915-04-06
Jim Fox,foxji01,1960-05-18
Matt Foy,foyma01,1983-05-18
Frank Foyston,foystfr01,1891-02-02
Bob Frampton,frampbo01,1929-01-20
Lou Franceschetti,franclo01,1958-03-28
Ron Francis,francro01,1963-03-01
Gord Fraser,frasego01,1902-01-03
Iain Fraser,fraseia01,1969-08-10
Jamie Fraser,fraseja01,1985-11-17
Mark Fraser,frasema01,1986-09-29
Dan Frawley,frawlda01,1962-06-02
Ray Frederick,fredera01,1929-07-31
Mark Freer,freerma01,1968-07-14
Dan Fridgen,fridgda01,1959-05-18
Mark Friedman,friedma01,1995-12-25
Alex Friesen,friesal01,1991-01-30
Ron Friest,friesro01,1958-11-04
Bob Froese,froesbo01,1958-06-30
Harry Frost,frostha01,1914-08-17
Morgan Frost,frostmo01,1999-05-14
Bob Fryday,frydabo01,1928-12-05
Kaden Fulcher,fulchka01,1998-09-23
Larry Fullan,fullala01,1949-08-11
Kurtis Gabriel,gabriku01,1993-04-20
Jonah Gadjovich,gadjojo01,1998-10-12
Jody Gage,gagejo01,1959-11-29
Art Gagne,gagnear01,1897-10-11
Paul Gagné,gagnepa01,1962-02-06
Pierre Gagne,gagnepi01,1940-06-05
Dave Gagner,gagneda01,1964-12-11
Sam Gagner,gagnesa01,1989-08-10
Dave Gagnon,gagnoda01,1967-10-31
Sean Gagnon,gagnose01,1973-09-11
Bob Gainey,gainebo01,1953-12-13
Percy Galbraith,galbrpe01,1898-12-05
John Gallagher,gallajo01,1909-01-19
Don Gallinger,gallido01,1925-04-16
Bruce Gamble,gamblbr01,1938-05-24
Dave Gans,gansda01,1964-06-06
Bruce Gardiner,gardibr01,1972-02-11
Bill Gardner,gardnbi01,1960-03-18
Dave Gardner,gardnda01,1952-08-23
Paul Gardner,gardnpa01,1956-03-05
Ray Gariepy,gariera01,1928-09-04
Rob Garner,garnero01,1958-08-17
Tyrone Garner,garnety01,1978-07-27
John Garrett,garrejo01,1951-06-17
Red Garrett,garrere01,1924-07-24
Mike Gartner,gartnmi01,1959-10-29
Dave Gatherum,gatheda01,1932-03-28
Steve Gatzos,gatzost01,1961-06-22
Tyler Gaudet,gaudety01,1993-04-04
Brendan Gaunce,gauncbr01,1994-03-25
Cameron Gaunce,gauncca01,1990-03-19
Art Gauthier,gauthar01,1904-10-10
Sean Gauthier,gauthse01,1971-03-28
Aaron Gavey,gaveyaa01,1974-02-22
Stew Gavin,gavinst01,1960-03-15
Luke Gazdic,gazdilu01,1989-07-25
George Gee,geege01,1922-06-28
Éric Gélinas,geliner01,1991-05-08
Jack Gelineau,gelinja01,1924-11-11
Eddie Gerard,gerared01,1890-02-22
Ray Getliffe,getlira01,1914-04-03
Ed Giacomin,giacoed01,1939-06-06
Mario Giallonardo,giallma01,1957-09-23
Doug Gibson,gibsodo01,1953-09-28
John Gibson,gibsojo01,1959-06-02
Gus Giesebrecht,giesegu01,1917-09-14
Lee Giffin,giffile01,1967-04-01
Ed Gilbert,gilbeed01,1952-03-12
Greg Gilbert,gilbegr01,1962-01-22
Todd Gill,gillto01,1965-11-09
Farrand Gillie,gillifa01,1905-05-11
Trevor Gillies,gillitr01,1979-01-30
Mike Gillis,gillimi01,1958-12-01
Paul Gillis,gillipa01,1963-12-31
Doug Gilmour,gilmodo01,1963-06-25
Mark Giordano,giordma01,1983-10-03
Kenny Girard,girarke01,1936-12-08
Dan Girardi,girarda01,1984-04-29
Claude Giroux,giroucl01,1988-01-12
Damien Giroux,girouda01,2000-03-03
Ray Giroux,giroura01,1976-07-20
Brian Glennie,glennbr01,1946-08-29
Dan Gloor,gloorda01,1952-12-04
Fred Glover,glovefr01,1928-01-05
Howie Glover,gloveho01,1935-02-14
Mike Glumac,glumami01,1980-04-05
Ernie Godden,goddeer01,1961-03-13
Warren Godfrey,godfrwa01,1931-03-23
Sam Godin,godinsa01,1909-09-20
Pete Goegan,goegape01,1934-03-06
Bob Goldham,goldhbo01,1922-05-12
Bill Goldsworthy,goldsbi01,1944-08-24
Glenn Goldup,goldugl01,1953-04-26
Hank Goldup,golduha01,1918-10-29
Cody Goloubef,golouco01,1989-11-30
Larry Goodenough,goodela01,1953-01-19
Ebbie Goodfellow,goodfeb01,1907-04-09
Barclay Goodrow,goodrba01,1993-02-26
Dave Gorman,gormada01,1955-04-08
Bobby Gould,gouldbo01,1957-09-02
John Gould,gouldjo01,1949-04-11
Larry Gould,gouldla01,1952-08-16
Chris Govedaris,govedch01,1970-02-02
David Goverde,goverda01,1970-04-09
Gerry Goyer,goyerge01,1936-10-20
Tony Graboski,graboto01,1916-05-09
Bob Gracie,gracibo01,1910-11-08
Leth Graham,grahale01,1894-10-10
Pat Graham,grahapa01,1961-05-25
Rod Graham,graharo01,1946-08-19
Ted Graham,grahate01,1906-01-30
Benny Grant,grantbe01,1908-07-14
Tyler Graovac,graovty01,1993-04-27
Chris Gratton,grattch01,1975-07-05
Dan Gratton,grattda01,1966-12-07
Josh Gratton,grattjo01,1982-09-09
Adam Graves,gravead01,1968-04-12
Steve Graves,gravest01,1964-04-07
Gerry Gray,grayge01,1948-01-28
Jet Greaves,greavje01,2001-03-30
Red Green,greenre01,1899-12-12
Rick Green,greenri01,1956-02-20
Shorty Green,greensh01,1896-07-17
Jeff Greenlaw,greenje01,1968-02-28
Brent Gretzky,gretzbr01,1972-02-20
Wayne Gretzky,gretzwa01,1961-01-26
Brent Grieve,grievbr01,1969-05-09
Seth Griffith,griffse01,1993-01-04
John Grisdale,grisdjo01,1948-08-23
Lloyd Gross,grossll01,1905-09-05
Don Grosso,grossdo01,1915-04-12
Len Grosvenor,grosvle01,1905-07-21
Wayne Groulx,groulwa01,1965-02-02
Danny Gruen,gruenda01,1952-06-26
Scott Gruhl,gruhlsc01,1959-09-13
Bob Gryp,grypbo01,1950-05-06
Erik Gudbranson,gudbrer01,1992-01-07
Steve Guenette,guenest01,1965-11-13
Aldo Guidolin,guidoal01,1932-06-06
Bep Guidolin,guidobe01,1925-12-09
Steve Guolla,guollst01,1973-03-15
David Haas,haasda01,1968-06-23
Len Hachborn,hachble01,1961-09-04
Jeff Hackett,hackeje01,1968-06-01
Matt Hackett,hackema01,1990-03-07
Lloyd Haddon,haddoll01,1938-08-10
Vic Hadfield,hadfivi01,1940-10-04
Jim Haggarty,haggaji01,1914-04-14
Nicolas Hague,hagueni01,1998-12-05
George Hainsworth,hainsge01,1895-06-26
Micheal Haley,haleymi01,1986-03-30
Matt Halischuk,halisma01,1988-06-01
Bob Halkidis,halkibo01,1966-03-05
Steven Halko,halkost01,1974-03-08
Del Hall,hallde01,1949-05-07
Murray Hall,hallmu01,1940-11-24
Milt Halliday,hallimi01,1906-09-21
Mike Halmo,halmomi01,1991-05-15
Trevor Halverson,halvetr01,1971-04-06
Doug Halward,halwado01,1955-11-01
Herb Hamel,hamelhe01,1904-06-08
Red Hamill,hamilre02,1917-01-11
Chuck Hamilton,hamilch01,1939-01-18
Dougie Hamilton,hamildo01,1993-06-17
Freddie Hamilton,hamilfr01,1992-01-01
Jack Hamilton,hamilja01,1925-06-02
Jim Hamilton,hamilji01,1957-01-18
Reg Hamilton,hamilre01,1914-04-29
Ryan Hamilton,hamilry01,1985-04-15
Ken Hammond,hammoke01,1963-08-22
Rick Hampton,hamptri01,1956-06-14
Ron Handy,handyro01,1963-01-15
Joel Hanley,hanlejo01,1991-06-08
Dave Hannan,hannada01,1961-11-26
Gord Hannigan,hannigo01,1929-01-19
Pat Hannigan,hannipa01,1936-03-05
Ray Hannigan,hannira01,1927-07-14
Jeff Harding,hardije01,1969-04-06
David Harlock,harloda01,1971-03-16
Ben Harpur,harpube01,1995-01-12
Scott Harrington,harrisc01,1993-03-10
Billy Harris,harribi01,1935-07-29
Billy Harris,harribi02,1952-01-29
Duke Harris,harridu01,1942-02-25
Henry Harris,harrihe01,1906-04-28
Hugh Harris,harrihu01,1948-06-07
Smokey Harris,harrism01,1890-10-11
Ed Harrison,harried01,1927-07-25
Jay Harrison,harrija01,1982-11-03
Paul Harrison,harripa01,1955-02-11
Craig Hartsburg,hartscr01,1959-06-29
Hugh Harvey,harvehu01,1949-06-25
Todd Harvey,harveto01,1975-02-17
Dale Hawerchuk,hawerda01,1963-04-04
Todd Hawkins,hawkito01,1966-08-02
Dwayne Hay,haydw01,1977-02-11
George Hay,hayge01,1898-01-10
Darren Haydar,haydada01,1979-10-22
Barrett Hayton,haytoba01,2000-06-09
Brian Hayward,haywabr01,1960-06-25
Steve Hazlett,hazlest01,1957-12-12
Don Head,headdo01,1933-06-30
Glenn Healy,healygl01,1962-08-23
Shawn Heaphy,heaphsh01,1968-11-27
Sammy Hebert,hebersa01,1894-03-31
Jeff Heerema,heereje01,1980-01-17
Frank Heffernan,heffefr01,1892-01-12
Shawn Heins,heinssh01,1973-12-24
Rick Heinz,heinzri01,1955-05-30
Earl Heiskala,heiskea01,1942-11-30
Ott Heller,helleot01,1910-06-02
Harry Helman,helmaha01,1894-08-28
Bryan Helmer,helmebr01,1972-07-15
John Henderson,hendejo01,1933-03-25
Murray Henderson,hendemu01,1921-09-05
Paul Henderson,hendepa01,1943-01-28
John Hendrickson,hendrjo01,1936-12-05
Adam Henrique,henriad01,1990-02-06
Alex Henry,henryal01,1979-10-18
Gord Henry,henrygo01,1926-08-17
Jimmy Herbert,herbeji01,1897-10-31
Art Herchenratter,herchar01,1917-11-24
Red Heron,heronre01,1917-12-31
Obs Heximer,heximob01,1910-02-16
Greg Hickey,hickegr01,1955-03-08
Pat Hickey,hickepa01,1953-05-15
Andre Hidi,hidian01,1960-06-05
Tim Higgins,higgiti01,1958-02-07
Dutch Hiller,hilledu01,1915-05-11
Randy Hillier,hillira01,1960-03-30
Cameron Hillis,hillica01,2000-06-24
Floyd Hillman,hillmfl01,1933-11-19
Larry Hillman,hillmla01,1937-02-05
Wayne Hillman,hillmwa01,1938-11-13
Normie Himes,himesno01,1903-04-13
Dan Hinton,hintoda01,1953-05-24
Joey Hishon,hishojo01,1991-10-20
Jamie Hislop,hisloja01,1954-01-20
Lionel Hitchman,hitchli01,1901-11-03
Todd Hlushko,hlushto01,1970-02-07
Joshua Ho-Sang,hosanjo01,1996-01-22
Ken Hodge,hodgeke02,1966-04-13
Justin Hodgman,hodgmju01,1988-06-27
Cody Hodgson,hodgsco01,1990-02-18
Hayden Hodgson,hodgsha01,1996-03-02
Mike Hoffman,hoffmmi01,1963-02-26
Mike Hoffman,hoffmmi02,1989-11-24
Jim Hofford,hoffoji01,1964-10-04
Paul Hoganson,hoganpa01,1949-11-12
Terry Holbrook,holbrte01,1950-07-11
Peter Holland,hollape01,1991-01-14
Mac Hollowell,holloma01,1998-09-26
Hap Holmes,holmeha01,1888-02-21
Warren Holmes,holmewa01,1957-02-18
John Holota,holotjo01,1921-02-25
Gary Holt,holtga01,1952-01-01
Randy Holt,holtra01,1953-01-15
Albert Holway,holwaal01,1902-09-24
Ron Hoover,hoovero01,1966-10-28
Dean Hopkins,hopkide01,1959-06-06
Larry Hopkins,hopkila01,1954-03-17
Mike Hordy,hordymi01,1956-10-10
Pete Horeck,horecpe01,1923-06-15
George Horne,hornege01,1904-06-27
Red Horner,hornere01,1909-05-28
Nathan Horton,hortona01,1985-05-29
Tim Horton,hortoti01,1930-01-12
Bo Horvat,horvabo01,1995-04-05
Bronco Horvath,horvabr01,1930-03-12
Greg Hotham,hothagr01,1956-03-07
Bill Houlder,houldbi01,1967-03-11
Ken Houston,houstke01,1953-09-15
Jack Howard,howarja01,1911-10-15
Syd Howe,howesy01,1911-09-28
Harry Howell,howelha01,1932-12-28
Ron Howell,howelro01,1935-12-04
Scott Howson,howsosc01,1960-04-09
Tony Hrkac,hrkacto01,1966-07-07
Steve Hrymnak,hrymnst01,1926-03-03
Tim Hrynewich,hryneti01,1963-10-02
Bill Huard,huardbi01,1967-06-24
Rolly Huard,huardro01,1902-09-06
Charlie Huddy,huddych01,1959-06-02
Dave Hudson,hudsoda01,1949-12-28
Mike Hudson,hudsomi01,1967-02-06
Kerry Huffman,huffmke01,1968-01-03
Al Huggins,huggial01,1910-12-21
Albert Hughes,hugheal01,1901-05-13
Brent Hughes,hughebr01,1943-06-17
James Hughes,hugheja01,1906-05-12
Bobby Hull,hullbo01,1939-01-03
Brett Hull,hullbr01,1964-08-09
Dennis Hull,hullde01,1944-11-19
Jody Hull,hulljo01,1969-02-02
Fred Hunt,huntfr01,1918-01-17
Dale Hunter,hunteda02,1960-07-31
Dave Hunter,hunteda01,1958-01-01
Mark Hunter,huntema01,1962-11-12
Larry Huras,hurasla01,1955-07-08
Bob Hurlburt,hurlbbo01,1950-05-01
Ron Hurst,hurstro01,1931-05-18
Kent Huskins,huskike01,1979-05-04
Michael Hutchinson,hutchmi01,1990-03-02
Dave Hutchison,hutchda01,1952-05-02
Ben Hutton,huttobe01,1993-04-20
Carter Hutton,huttoca01,1985-12-19
Zach Hyman,hymanza01,1992-06-09
Mike Iggulden,iggulmi01,1982-11-09
Peter Ing,ingpe01,1969-04-28
Billy Inglis,inglibi01,1943-05-11
Jack Ingoldsby,ingoljo01,1924-06-21
Ron Ingram,ingraro01,1933-07-05
Gary Inness,innesga01,1949-05-28
Ralph Intranuovo,intrara01,1973-12-11
Robbie Irons,ironsro01,1946-11-19
Joe Ironstone,ironsjo01,1898-06-28
Dick Irvin,irvindi01,1892-07-19
Brayden Irwin,irwinbr01,1987-03-24
Greg Jacina,jacingr01,1982-05-22
Ric Jackman,jackmri01,1978-06-28
Art Jackson,jacksar01,1915-12-15
Busher Jackson,jacksbu01,1911-01-19
Harold Jackson,jacksha01,1918-08-01
Jack Jackson,jacksja01,1925-05-03
Jeff Jackson,jacksje01,1965-04-24
Jim Jackson,jacksji01,1960-02-01
Lloyd Jackson,jacksll01,1912-01-07
Tim Jacobs,jacobti01,1952-03-28
John Jakopin,jakopjo01,1975-05-16
Jim Jamieson,jamieji01,1922-03-21
Dan Jancevski,janceda01,1981-06-15
Mark Jankowski,jankoma01,1994-09-13
Ryan Jardine,jardiry01,1980-03-15
Cole Jarrett,jarreco01,1983-01-04
Doug Jarrett,jarredo01,1944-04-22
Gary Jarrett,jarrega01,1942-09-03
Doug Jarvis,jarvido01,1955-03-24
James Jarvis,jarvija01,1907-12-07
Wes Jarvis,jarviwe01,1958-05-30
Jason Jaspers,jaspeja01,1981-04-08
Dustin Jeffrey,jeffrdu01,1988-02-27
Larry Jeffrey,jeffrla01,1940-10-12
Boone Jenner,jennebo01,1993-06-15
Bill Jennings,jennibi01,1916-06-28
Al Jensen,jenseal01,1958-11-27
Bill Johansen,johanbi01,1928-07-27
Trevor Johansen,johantr01,1957-03-30
Don Johns,johnsdo01,1937-12-13
Earl Johnson,johnsea01,1931-06-28
Greg Johnson,johnsgr02,1971-03-16
Matt Johnson,johnsma03,1975-11-23
Mike Johnson,johnsmi01,1974-10-03
Ryan Johnson,johnsry01,1976-06-14
Bernie Johnston,johnsbe01,1956-09-15
Greg Johnston,johnsgr01,1965-01-14
Jay Johnston,johnsja01,1958-02-28
Joey Johnston,johnsjo01,1949-03-03
Larry Johnston,johnsla01,1943-07-20
Randy Johnston,johnsra01,1958-06-02
Ryan Johnston,johnsry02,1992-02-14
Wyatt Johnston,johnswy01,2003-05-14
Aurele Joliat,joliaau01,1901-08-29
Rene Joliat,joliare01,1898-04-25
Yvan Joly,jolyyv01,1960-02-06
Stan Jonathan,jonatst01,1955-09-05
Ben Jones,jonesbe01,1999-02-26
Bob Jones,jonesbo01,1945-11-27
Buck Jones,jonesbu01,1918-08-17
David Jones,jonesda01,1984-08-10
Jim Jones,jonesji01,1949-07-27
Jimmy Jones,jonesji02,1953-01-02
Keith Jones,joneske01,1968-11-08
Ryan Jones,jonesry01,1984-06-14
Josh Jooris,joorijo01,1990-07-14
Curtis Joseph,josepcu01,1967-04-29
Tony Joseph,josepto01,1969-03-01
Derek Joslin,joslide01,1987-03-17
Ed Jovanovski,jovaned01,1976-06-26
Claude Julien,juliecl01,1960-04-23
Joe Junkin,junkijo01,1946-09-08
Ed Kachur,kachued01,1934-04-22
Nazem Kadri,kadrina01,1990-10-06
Vern Kaiser,kaiseve01,1926-09-28
Walter Kalbfleisch,kalbfwa01,1911-12-18
Max Kaminsky,kaminma01,1913-04-19
Bingo Kampman,kampmbi01,1914-03-12
Francis Kane,kanefr01,1923-01-19
Gord Kannegiesser,kannego01,1945-12-21
Sheldon Kannegiesser,kannesh01,1947-08-15
Tye Kartye,kartyty01,2001-04-30
Zack Kassian,kassiza01,1991-01-24
Ed Kastelic,kasteed01,1964-01-29
Mike Kaszycki,kaszymi01,1956-02-27
Boris Katchouk,katchbo01,1998-06-18
Mark Katic,katicma01,1989-05-09
Pat Kavanagh,kavanpa01,1979-03-14
Doug Keans,keansdo01,1958-01-07
Dennis Kearns,kearnde01,1945-09-27
Jack Keating,keatija01,1916-10-09
Mike Keating,keatimi01,1957-01-21
Sheldon Keefe,keefesh01,1980-09-17
Butch Keeling,keelibu01,1905-08-10
Don Keenan,keenado01,1938-08-08
Larry Keenan,keenala01,1940-10-01
Rick Kehoe,kehoeri01,1951-07-15
Bob Kelly,kellybo01,1946-06-06
Bob Kelly,kellybo02,1950-11-25
Chris Kelly,kellych01,1980-11-11
Dave Kelly,kellyda01,1952-09-20
Pep Kelly,kellype02,1914-01-17
Red Kelly,kellyre01,1927-07-09
Kevin Kemp,kempke01,1954-05-03
Stan Kemp,kempst01,1924-03-02
Ted Kennedy,kennete01,1925-12-12
Tyler Kennedy,kennety01,1986-07-15
Dave Kerr,kerrda01,1910-01-11
Tim Kerr,kerrti01,1960-01-05
Rick Kessell,kesseri01,1949-07-27
Chad Kilger,kilgech01,1976-11-27
Brian Kilrea,kilrebr01,1934-10-21
Hec Kilrea,kilrehe01,1907-06-11
Ken Kilrea,kilreke01,1919-01-16
Wally Kilrea,kilrewa01,1909-02-18
Derek King,kingde01,1967-02-11
Frank King,kingfr01,1929-03-07
Kris King,kingkr01,1966-02-18
Scott King,kingsc01,1967-06-25
Wayne King,kingwa01,1951-09-04
Geordie Kinnear,kinnege01,1973-07-09
Brian Kinsella,kinsebr01,1954-02-11
Ray Kinsella,kinsera01,1911-01-27
Bill Kitchen,kitchbi01,1960-10-02
Hobie Kitchen,kitchho01,1904-02-08
Mike Kitchen,kitchmi01,1956-02-01
Kevin Klein,kleinke01,1984-12-13
Joe Klukay,klukajo01,1922-11-06
Bill Knibbs,knibbbi01,1942-01-24
Nick Knott,knottni01,1920-07-23
Paul Knox,knoxpa01,1933-11-23
Mike Knuble,knublmi01,1972-07-04
Greg Koehler,koehlgr01,1975-02-27
Slater Koekkoek,koekksl01,1994-02-18
Mark Kolesar,kolesma01,1973-01-23
Travis Konecny,konectr01,1997-03-11
Zenon Konopka,konopze01,1981-01-02
Steve Konroyd,konrost01,1961-02-10
Chris Kontos,kontoch01,1963-12-10
